"","Trait_A","Trait_B","Observed","Expected","Percent","Count","Pvalue","Sig","Correction","Direction","TraitDiff","AbsDiff"
"262","Raffinose_F","L-Rhamnose",29,37.1207,0.0191,9917,0.9917,0,1,"Random",-8.1207,8.1207
"2631","Raffinose_F","D-Xylose",532,488.8094,1,0,0,1,0,"Negative",43.1906,43.1906
"2641","Raffinose_F","L-Arabinose",304,278.6462,0.9997,7,7e-04,1,0.0101230769230769,"Negative",25.3538,25.3538
"2651","Raffinose_F","D-Arabinose",286,257.6232,1,1,1e-04,1,0.00188,"Negative",28.3768,28.3768
"2661","Raffinose_F","D-Ribose",356,324.1626,1,1,1e-04,1,0.00188,"Negative",31.8374,31.8374
"2671","Raffinose_F","Methanol",174,160.1784,1,9,9e-04,1,0.0125333333333333,"Negative",13.8216,13.8216
"268","Raffinose_F","Ethanol",101,105.9421,0.0393,9815,0.9815,0,1,"Random",-4.9421,4.9421
"269","Raffinose_F","Glycerol",103,107.6197,0.0405,9839,0.9839,0,1,"Random",-4.61969999999999,4.61969999999999
"2701","Raffinose_F","Erythritol",281,251.9272,0.9999,2,2e-04,1,0.0032695652173913,"Negative",29.0728,29.0728
"2711","Raffinose_F","Ribitol",484,444.1196,1,0,0,1,0,"Negative",39.8804,39.8804
"272","Raffinose_F","Galactitol",18,23.3086,0.0439,9814,0.9814,0,1,"Random",-5.3086,5.3086
"273","Raffinose_F","D-Mannitol",95,102.8285,0.0055,9979,0.9979,0,1,"Random",-7.82850000000001,7.82850000000001
"2741","Raffinose_F","D-Glucitol",575,548.564,1,1,1e-04,1,0.00188,"Negative",26.436,26.436
"275","Raffinose_F","myo-Inositol",7,13.2844,0.0069,9979,0.9979,0,1,"Random",-6.2844,6.2844
"276","Raffinose_F","DL-Lactate",70,68.0492,0.7079,3693,0.3693,0,1,"Random",1.9508,1.9508
"2771","Raffinose_F","Succinate",590,567.0846,0.9998,2,2e-04,1,0.0032695652173913,"Negative",22.9154,22.9154
"2781","Raffinose_F","Citrate",469,439.4246,1,1,1e-04,1,0.00188,"Negative",29.5754,29.5754
"279","Raffinose_F","D-Gluconate",79,83.9213,0.1327,9140,0.914,0,1,"Random",-4.9213,4.9213
"2801","Raffinose_F","D-Glucosamine",344,311.5336,1,0,0,1,0,"Negative",32.4664,32.4664
"281","Raffinose_F","Nitrate",21,21.5611,0.5021,6198,0.6198,0,1,"Random",-0.5611,0.5611
"282","Raffinose_F","Vitamin-free",33,29.9805,0.843,2363,0.2363,0,0.776233526011561,"Random",3.0195,3.0195
"283","Raffinose_F","2-Keto-D-gluconate",57,66.448,0.0178,9900,0.99,0,1,"Random",-9.44799999999999,9.44799999999999
"284","Raffinose_F","Starch formation",1,2.4337,0.2716,9337,0.9337,0,1,"Random",-1.4337,1.4337
"285","Raffinose_F","Growth at 19°C",115,115.5873,0.3968,9841,0.9841,0,1,"Random",-0.587299999999999,0.587299999999999
"286","Raffinose_F","Growth at 25°C",115,115.575,0.4042,9794,0.9794,0,1,"Random",-0.575000000000003,0.575000000000003
"287","Raffinose_F","Growth at 30°C",115,113.0445,0.9609,1791,0.1791,0,0.668265789473684,"Random",1.9555,1.9555
"288","Raffinose_F","Growth at 37°C",67,66.446,0.5977,4923,0.4923,0,1,"Random",0.554000000000002,0.554000000000002
"296","Trehalose_F","Inulin",29,35.3475,0.0462,9744,0.9744,0,1,"Random",-6.3475,6.3475
"297","Trehalose_F","Sucrose",191,191.0377,0.5363,5467,0.5467,0,1,"Random",-0.037700000000001,0.037700000000001
"298","Trehalose_F","Raffinose",80,90.037,0.0242,9855,0.9855,0,1,"Random",-10.037,10.037
"299","Trehalose_F","Melibiose",37,44.617,0.0253,9871,0.9871,0,1,"Random",-7.617,7.617
"300","Trehalose_F","Galactose",213,206.2601,0.9459,843,0.0843,0,0.385703225806452,"Random",6.73990000000001,6.73990000000001
"301","Trehalose_F","Lactose",44,48.2009,0.1551,8996,0.8996,0,1,"Random",-4.2009,4.2009
"302","Trehalose_F","Trehalose",245,227.9297,1,0,0,1,0,"Positive",17.0703,17.0703
"303","Trehalose_F","Maltose",193,190.8968,0.7035,3750,0.375,0,1,"Random",2.10319999999999,2.10319999999999
"304","Trehalose_F","Melezitose",159,159.848,0.4702,6067,0.6067,0,1,"Random",-0.848000000000013,0.848000000000013
"305","Trehalose_F","Methyl-?-D-glucoside",170,168.9544,0.6173,4615,0.4615,0,1,"Random",1.04560000000001,1.04560000000001
"306","Trehalose_F","Soluble Starch",71,75.4781,0.1841,8698,0.8698,0,1,"Random",-4.4781,4.4781
"307","Trehalose_F","Cellobiose",196,195.7997,0.5549,5289,0.5289,0,1,"Random",0.200299999999999,0.200299999999999
"308","Trehalose_F","Salicin",193,194.148,0.4373,6406,0.6406,0,1,"Random",-1.148,1.148
"309","Trehalose_F","L-Sorbose",155,164.9298,0.0373,9755,0.9755,0,1,"Random",-9.9298,9.9298
"310","Trehalose_F","L-Rhamnose",71,78.3126,0.0658,9598,0.9598,0,1,"Random",-7.3126,7.3126
"311","Trehalose_F","D-Xylose",212,210.9056,0.6407,4502,0.4502,0,1,"Random",1.09440000000001,1.09440000000001
"312","Trehalose_F","L-Arabinose",132,130.0929,0.685,3845,0.3845,0,1,"Random",1.90710000000001,1.90710000000001
"313","Trehalose_F","D-Arabinose",113,111.1309,0.6868,3874,0.3874,0,1,"Random",1.8691,1.8691
"314","Trehalose_F","D-Ribose",157,150.6481,0.9081,1284,0.1284,0,0.528595620437956,"Random",6.3519,6.3519
"315","Trehalose_F","Methanol",24,24.0326,0.5612,5643,0.5643,0,1,"Random",-0.0325999999999986,0.0325999999999986
"316","Trehalose_F","Ethanol",230,232.6836,0.2459,8425,0.8425,0,1,"Random",-2.68360000000001,2.68360000000001
"317","Trehalose_F","Glycerol",241,238.982,0.8185,2913,0.2913,0,0.891089430894309,"Random",2.018,2.018
"318","Trehalose_F","Erythritol",114,109.682,0.8371,2189,0.2189,0,0.741499099099099,"Random",4.318,4.318
"319","Trehalose_F","Ribitol",221,207.5726,0.9987,22,0.0022,1,0.0264,"Positive",13.4274,13.4274
"320","Trehalose_F","Galactitol",43,46.948,0.1618,8967,0.8967,0,1,"Random",-3.948,3.948
"321","Trehalose_F","D-Mannitol",234,232.427,0.7298,3805,0.3805,0,1,"Random",1.57300000000001,1.57300000000001
"322","Trehalose_F","D-Glucitol",234,231.5849,0.7981,2972,0.2972,0,0.898771045576408,"Random",2.4151,2.4151
"323","Trehalose_F","myo-Inositol",22,29.087,0.0173,9930,0.993,0,1,"Random",-7.087,7.087
"3241","Trehalose_F","DL-Lactate",408,363.2648,0.9999,1,1e-04,1,0.00188,"Negative",44.7352,44.7352
"325","Trehalose_F","Succinate",230,228.8752,0.6749,4371,0.4371,0,1,"Random",1.12479999999999,1.12479999999999
"326","Trehalose_F","Citrate",193,192.5374,0.5751,5072,0.5072,0,1,"Random",0.462600000000009,0.462600000000009
"327","Trehalose_F","D-Gluconate",195,190.2953,0.8561,1967,0.1967,0,0.6997125,"Random",4.7047,4.7047
"328","Trehalose_F","D-Glucosamine",173,153.9386,0.9999,2,2e-04,1,0.00363870967741936,"Positive",19.0614,19.0614
"329","Trehalose_F","Nitrate",28,37.2307,0.0126,9939,0.9939,0,1,"Random",-9.2307,9.2307
"3301","Trehalose_F","Vitamin-free",301,277.842,0.9995,20,0.002,1,0.0247912087912088,"Negative",23.158,23.158
"331","Trehalose_F","2-Keto-D-gluconate",175,165.1841,0.9774,379,0.0379,1,0.229845161290323,"Random",9.8159,9.8159
"332","Trehalose_F","Starch formation",0,4.3356,0.0067,10000,1,0,1,"Random",-4.3356,4.3356
"333","Trehalose_F","Growth at 19°C",251,250.8197,1,8289,0.8289,0,1,"Random",0.180299999999988,0.180299999999988
"334","Trehalose_F","Growth at 25°C",251,250.8014,1,8114,0.8114,0,1,"Random",0.198599999999999,0.198599999999999
"335","Trehalose_F","Growth at 30°C",243,242.8983,0.5952,5792,0.5792,0,1,"Random",0.101699999999994,0.101699999999994
"3361","Trehalose_F","Growth at 37°C",379,344.6532,0.9992,13,0.0013,1,0.0170511627906977,"Negative",34.3468,34.3468
"345","Inulin","Sucrose",78,70.0254,0.9989,39,0.0039,1,0.043992,"Positive",7.9746,7.9746
"346","Inulin","Raffinose",75,54.3597,1,0,0,1,0,"Positive",20.6403,20.6403
"347","Inulin","Melibiose",37,29.3673,0.9975,93,0.0093,1,0.08195625,"Random",7.6327,7.6327
"348","Inulin","Galactose",68,68.1559,0.542,5929,0.5929,0,1,"Random",-0.155900000000003,0.155900000000003
"349","Inulin","Lactose",29,25.4506,0.9191,1466,0.1466,0,0.57575,"Random",3.5494,3.5494
"350","Inulin","Trehalose",78,74.5581,0.9549,1140,0.114,0,0.485252830188679,"Random",3.4419,3.4419
"351","Inulin","Maltose",72,67.8398,0.945,1090,0.109,0,0.471080459770115,"Random",4.1602,4.1602
"352","Inulin","Melezitose",61,57.5227,0.8775,1935,0.1935,0,0.690721518987342,"Random",3.4773,3.4773
"353","Inulin","Methyl-?-D-glucoside",68,62.988,0.9576,797,0.0797,0,0.381348953974895,"Random",5.012,5.012
"354","Inulin","Soluble Starch",42,36.2814,0.9693,586,0.0586,0,0.308882242990654,"Random",5.7186,5.7186
"355","Inulin","Cellobiose",64,65.9392,0.3187,7852,0.7852,0,1,"Random",-1.9392,1.9392
"356","Inulin","Salicin",61,64.5436,0.1663,8997,0.8997,0,1,"Random",-3.5436,3.5436
"357","Inulin","L-Sorbose",59,59.757,0.4686,6457,0.6457,0,1,"Random",-0.756999999999998,0.756999999999998
"358","Inulin","L-Rhamnose",27,29.9874,0.2249,8556,0.8556,0,1,"Random",-2.9874,2.9874
"359","Inulin","D-Xylose",60,66.9783,0.0166,9927,0.9927,0,1,"Random",-6.9783,6.9783
"360","Inulin","L-Arabinose",44,45.941,0.3339,7628,0.7628,0,1,"Random",-1.941,1.941
"361","Inulin","D-Arabinose",35,37.787,0.2541,8320,0.832,0,1,"Random",-2.787,2.787
"362","Inulin","D-Ribose",36,44.9649,0.0074,9972,0.9972,0,1,"Random",-8.9649,8.9649
"363","Inulin","Methanol",2,5.9376,0.0421,9889,0.9889,0,1,"Random",-3.9376,3.9376
"364","Inulin","Ethanol",78,78.3804,0.4967,6954,0.6954,0,1,"Random",-0.380399999999995,0.380399999999995
"365","Inulin","Glycerol",73,77.2361,0.0306,9887,0.9887,0,1,"Random",-4.23609999999999,4.23609999999999
"366","Inulin","Erythritol",28,33.3492,0.0749,9603,0.9603,0,1,"Random",-5.3492,5.3492
"367","Inulin","Ribitol",56,62.8015,0.0246,9887,0.9887,0,1,"Random",-6.8015,6.8015
"368","Inulin","Galactitol",33,28.0224,0.973,593,0.0593,0,0.311118139534884,"Random",4.9776,4.9776
"369","Inulin","D-Mannitol",77,77.3678,0.5104,6817,0.6817,0,1,"Random",-0.367800000000003,0.367800000000003
"370","Inulin","D-Glucitol",75,76.4599,0.3098,8261,0.8261,0,1,"Random",-1.4599,1.4599
"371","Inulin","myo-Inositol",14,14.0106,0.5961,5769,0.5769,0,1,"Random",-0.0106000000000002,0.0106000000000002
"372","Inulin","DL-Lactate",38,45.3198,0.0369,9800,0.98,0,1,"Random",-7.3198,7.3198
"3731","Inulin","Succinate",605,589.1234,0.9996,26,0.0026,1,0.0302350515463918,"Negative",15.8766000000001,15.8766000000001
"374","Inulin","Citrate",55,61.27,0.0393,9821,0.9821,0,1,"Random",-6.27,6.27
"375","Inulin","D-Gluconate",62,63.1452,0.4095,7027,0.7027,0,1,"Random",-1.1452,1.1452
"376","Inulin","D-Glucosamine",33,41.7218,0.0081,9969,0.9969,0,1,"Random",-8.7218,8.7218
"377","Inulin","Nitrate",8,12.4901,0.073,9711,0.9711,0,1,"Random",-4.4901,4.4901
"378","Inulin","Vitamin-free",30,24.6234,0.9665,628,0.0628,0,0.32346301369863,"Random",5.3766,5.3766
"379","Inulin","2-Keto-D-gluconate",57,55.8721,0.6733,4325,0.4325,0,1,"Random",1.1279,1.1279
"380","Inulin","Starch formation",5,3.7603,0.882,2930,0.293,0,0.893254054054054,"Random",1.2397,1.2397
"381","Inulin","Growth at 19°C",82,82.6303,0.3602,9905,0.9905,0,1,"Random",-0.630300000000005,0.630300000000005
"382","Inulin","Growth at 25°C",82,82.6258,0.3635,9893,0.9893,0,1,"Random",-0.625799999999998,0.625799999999998
"383","Inulin","Growth at 30°C",82,81.0963,0.8754,4135,0.4135,0,1,"Random",0.903700000000001,0.903700000000001
"384","Inulin","Growth at 37°C",50,49.913,0.5616,5488,0.5488,0,1,"Random",0.0870000000000033,0.0870000000000033
"394","Sucrose","Raffinose",204,179.1799,1,0,0,1,0,"Positive",24.8201,24.8201
"395","Sucrose","Melibiose",87,82.2113,0.9537,863,0.0863,0,0.390949397590361,"Random",4.78870000000001,4.78870000000001
"396","Sucrose","Galactose",363,359.0788,0.796,2599,0.2599,0,0.816621727019499,"Random",3.9212,3.9212
"397","Sucrose","Lactose",81,80.2348,0.6449,4704,0.4704,0,1,"Random",0.765199999999993,0.765199999999993
"398","Sucrose","Trehalose",413,395.43,1,1,1e-04,1,0.00191186440677966,"Positive",17.57,17.57
"399","Sucrose","Maltose",419,371.654,1,0,0,1,0,"Positive",47.346,47.346
"400","Sucrose","Melezitose",358,312.4386,1,0,0,1,0,"Positive",45.5614,45.5614
"401","Sucrose","Methyl-?-D-glucoside",362,321.5655,1,0,0,1,0,"Positive",40.4345,40.4345
"402","Sucrose","Soluble Starch",131,127.8087,0.8271,2493,0.2493,0,0.795335593220339,"Random",3.1913,3.1913
"403","Sucrose","Cellobiose",362,351.5613,0.9826,275,0.0275,1,0.187546987951807,"Random",10.4387,10.4387
"404","Sucrose","Salicin",364,352.4562,0.9906,154,0.0154,1,0.121476923076923,"Random",11.5438,11.5438
"405","Sucrose","L-Sorbose",285,294.8238,0.0496,9670,0.967,0,1,"Random",-9.82380000000001,9.82380000000001
"406","Sucrose","L-Rhamnose",129,133.8346,0.1567,8929,0.8929,0,1,"Random",-4.83459999999999,4.83459999999999
"407","Sucrose","D-Xylose",365,369.5785,0.2025,8499,0.8499,0,1,"Random",-4.57850000000002,4.57850000000002
"408","Sucrose","L-Arabinose",195,202.7894,0.066,9554,0.9554,0,1,"Random",-7.7894,7.7894
"409","Sucrose","D-Arabinose",158,167.7505,0.0241,9852,0.9852,0,1,"Random",-9.75049999999999,9.75049999999999
"410","Sucrose","D-Ribose",219,232.6311,0.0058,9967,0.9967,0,1,"Random",-13.6311,13.6311
"4111","Sucrose","Methanol",500,466.108,1,0,0,1,0,"Negative",33.892,33.892
"412","Sucrose","Ethanol",418,424.858,0.0433,9771,0.9771,0,1,"Random",-6.858,6.858
"413","Sucrose","Glycerol",431,435.4317,0.1226,9279,0.9279,0,1,"Random",-4.43169999999998,4.43169999999998
"4141","Sucrose","Erythritol",407,375.9358,0.9997,9,9e-04,1,0.0125333333333333,"Negative",31.0642,31.0642
"415","Sucrose","Ribitol",337,340.418,0.2858,7806,0.7806,0,1,"Random",-3.41800000000001,3.41800000000001
"416","Sucrose","Galactitol",75,75.8841,0.4462,6812,0.6812,0,1,"Random",-0.884100000000004,0.884100000000004
"417","Sucrose","D-Mannitol",425,421.5592,0.8288,2352,0.2352,0,0.775747368421053,"Random",3.44080000000002,3.44080000000002
"418","Sucrose","D-Glucitol",419,417.5369,0.6816,4116,0.4116,0,1,"Random",1.4631,1.4631
"419","Sucrose","myo-Inositol",50,53.0933,0.1786,8954,0.8954,0,1,"Random",-3.0933,3.0933
"4201","Sucrose","DL-Lactate",417,368.522,1,0,0,1,0,"Negative",48.478,48.478
"421","Sucrose","Succinate",399,408.2055,0.0188,9902,0.9902,0,1,"Random",-9.20549999999997,9.20549999999997
"422","Sucrose","Citrate",347,340.6771,0.8991,1370,0.137,0,0.555884892086331,"Random",6.3229,6.3229
"423","Sucrose","D-Gluconate",334,328.9212,0.8501,1974,0.1974,0,0.6997125,"Random",5.0788,5.0788
"424","Sucrose","D-Glucosamine",235,231.3589,0.7922,2684,0.2684,0,0.838657063711911,"Random",3.64109999999999,3.64109999999999
"425","Sucrose","Nitrate",63,71.4404,0.0207,9899,0.9899,0,1,"Random",-8.4404,8.4404
"426","Sucrose","Vitamin-free",70,80.2687,0.0071,9966,0.9966,0,1,"Random",-10.2687,10.2687
"427","Sucrose","2-Keto-D-gluconate",284,274.5789,0.9687,472,0.0472,1,0.263572277227723,"Random",9.42110000000002,9.42110000000002
"428","Sucrose","Starch formation",11,12.5943,0.2519,8948,0.8948,0,1,"Random",-1.5943,1.5943
"429","Sucrose","Growth at 19°C",469,469.1151,0.7517,8668,0.8668,0,1,"Random",-0.115099999999984,0.115099999999984
"430","Sucrose","Growth at 25°C",469,469.0787,0.761,8452,0.8452,0,1,"Random",-0.0787000000000262,0.0787000000000262
"431","Sucrose","Growth at 30°C",444,447.9701,0.0993,9524,0.9524,0,1,"Random",-3.9701,3.9701
"4321","Sucrose","Growth at 37°C",428,374.1522,1,0,0,1,0,"Negative",53.8478,53.8478
"443","Raffinose","Melibiose",92,69.0535,1,0,0,1,0,"Positive",22.9465,22.9465
"444","Raffinose","Galactose",173,171.7577,0.6452,4407,0.4407,0,1,"Random",1.2423,1.2423
"445","Raffinose","Lactose",63,55.8848,0.9814,353,0.0353,1,0.217586885245902,"Random",7.1152,7.1152
"446","Raffinose","Trehalose",183,182.0692,0.63,4638,0.4638,0,1,"Random",0.930800000000005,0.930800000000005
"447","Raffinose","Maltose",176,167.4168,0.9756,408,0.0408,1,0.238836734693878,"Random",8.58320000000001,8.58320000000001
"448","Raffinose","Melezitose",143,139.2007,0.8031,2534,0.2534,0,0.802907865168539,"Random",3.79929999999999,3.79929999999999
"449","Raffinose","Methyl-?-D-glucoside",158,150.4891,0.9492,748,0.0748,0,0.370063157894737,"Random",7.51089999999999,7.51089999999999
"450","Raffinose","Soluble Starch",85,78.2349,0.9516,738,0.0738,0,0.368346902654867,"Random",6.7651,6.7651
"451","Raffinose","Cellobiose",150,159.7177,0.0265,9842,0.9842,0,1,"Random",-9.71770000000001,9.71770000000001
"452","Raffinose","Salicin",153,160.893,0.0593,9611,0.9611,0,1,"Random",-7.893,7.893
"453","Raffinose","L-Sorbose",131,141.0638,0.032,9790,0.979,0,1,"Random",-10.0638,10.0638
"454","Raffinose","L-Rhamnose",66,71.8527,0.1175,9239,0.9239,0,1,"Random",-5.8527,5.8527
"4551","Raffinose","D-Xylose",471,428.5624,1,0,0,1,0,"Negative",42.4376,42.4376
"456","Raffinose","L-Arabinose",110,113.0631,0.2929,7732,0.7732,0,1,"Random",-3.06310000000001,3.06310000000001
"457","Raffinose","D-Arabinose",81,89.3084,0.0507,9682,0.9682,0,1,"Random",-8.30840000000001,8.30840000000001
"458","Raffinose","D-Ribose",104,117.331,0.0053,9968,0.9968,0,1,"Random",-13.331,13.331
"4591","Raffinose","Methanol",265,244.6112,1,3,3e-04,1,0.00457297297297297,"Negative",20.3888,20.3888
"460","Raffinose","Ethanol",190,196.6665,0.0291,9867,0.9867,0,1,"Random",-6.66650000000001,6.66650000000001
"461","Raffinose","Glycerol",190,198.5275,0.0051,9984,0.9984,0,1,"Random",-8.5275,8.5275
"462","Raffinose","Erythritol",74,84.726,0.0164,9907,0.9907,0,1,"Random",-10.726,10.726
"4631","Raffinose","Ribitol",433,394.3722,1,2,2e-04,1,0.0032695652173913,"Negative",38.6278,38.6278
"464","Raffinose","Galactitol",61,54.7375,0.976,491,0.0491,1,0.270169756097561,"Random",6.2625,6.2625
"465","Raffinose","D-Mannitol",190,194.4317,0.1235,9274,0.9274,0,1,"Random",-4.43170000000001,4.43170000000001
"466","Raffinose","D-Glucitol",180,189.9515,0.0049,9978,0.9978,0,1,"Random",-9.95150000000001,9.95150000000001
"467","Raffinose","myo-Inositol",41,37.7078,0.8854,1900,0.19,0,0.684728434504792,"Random",3.2922,3.2922
"468","Raffinose","DL-Lactate",108,118.3338,0.0318,9777,0.9777,0,1,"Random",-10.3338,10.3338
"4691","Raffinose","Succinate",519,491.586,1,0,0,1,0,"Negative",27.414,27.414
"470","Raffinose","Citrate",144,155.6574,0.0116,9936,0.9936,0,1,"Random",-11.6574,11.6574
"471","Raffinose","D-Gluconate",151,155.4435,0.2054,8483,0.8483,0,1,"Random",-4.4435,4.4435
"4721","Raffinose","D-Glucosamine",333,304.4838,0.9989,23,0.0023,1,0.0273094736842105,"Negative",28.5162,28.5162
"473","Raffinose","Nitrate",39,39.8926,0.4596,6392,0.6392,0,1,"Random",-0.892600000000002,0.892600000000002
"474","Raffinose","Vitamin-free",56,51.9115,0.866,1925,0.1925,0,0.689333333333333,"Random",4.0885,4.0885
"475","Raffinose","2-Keto-D-gluconate",124,129.4179,0.1711,8746,0.8746,0,1,"Random",-5.4179,5.4179
"476","Raffinose","Starch formation",6,6.5789,0.4875,7238,0.7238,0,1,"Random",-0.5789,0.5789
"477","Raffinose","Growth at 19°C",214,214.4801,0.4854,9655,0.9655,0,1,"Random",-0.480099999999993,0.480099999999993
"478","Raffinose","Growth at 25°C",214,214.458,0.499,9573,0.9573,0,1,"Random",-0.457999999999998,0.457999999999998
"479","Raffinose","Growth at 30°C",206,207.0622,0.3891,7601,0.7601,0,1,"Random",-1.06219999999999,1.06219999999999
"480","Raffinose","Growth at 37°C",113,117.7247,0.2137,8353,0.8353,0,1,"Random",-4.7247,4.7247
"492","Melibiose","Galactose",96,87.8637,0.9999,11,0.0011,1,0.0147714285714286,"Positive",8.13630000000001,8.13630000000001
"493","Melibiose","Lactose",49,38.4988,0.9996,7,7e-04,1,0.0101230769230769,"Positive",10.5012,10.5012
"494","Melibiose","Trehalose",95,90.2088,0.9871,396,0.0396,1,0.2376,"Random",4.7912,4.7912
"495","Melibiose","Maltose",91,83.7893,0.9972,97,0.0097,1,0.0848186046511628,"Random",7.2107,7.2107
"496","Melibiose","Melezitose",74,70.4854,0.8706,1981,0.1981,0,0.6997125,"Random",3.5146,3.5146
"497","Melibiose","Methyl-?-D-glucoside",86,78.18,0.994,135,0.0135,1,0.111153284671533,"Random",7.81999999999999,7.81999999999999
"498","Melibiose","Soluble Starch",56,46.4733,0.9977,48,0.0048,1,0.0510792452830189,"Random",9.5267,9.5267
"499","Melibiose","Cellobiose",82,81.2379,0.6571,4747,0.4747,0,1,"Random",0.762100000000004,0.762100000000004
"500","Melibiose","Salicin",80,80.3071,0.5177,6043,0.6043,0,1,"Random",-0.307100000000005,0.307100000000005
"501","Melibiose","L-Sorbose",78,75.0828,0.8348,2464,0.2464,0,0.791849572649573,"Random",2.91719999999999,2.91719999999999
"502","Melibiose","L-Rhamnose",38,38.9781,0.4483,6640,0.664,0,1,"Random",-0.978099999999998,0.978099999999998
"503","Melibiose","D-Xylose",83,84.7639,0.3261,7862,0.7862,0,1,"Random",-1.76390000000001,1.76390000000001
"504","Melibiose","L-Arabinose",75,66.9119,0.9912,167,0.0167,1,0.129914482758621,"Random",8.0881,8.0881
"505","Melibiose","D-Arabinose",56,52.8995,0.8407,2372,0.2372,0,0.776233526011561,"Random",3.1005,3.1005
"506","Melibiose","D-Ribose",58,61.5455,0.1991,8663,0.8663,0,1,"Random",-3.5455,3.5455
"507","Melibiose","Methanol",3,7.3674,0.0404,9887,0.9887,0,1,"Random",-4.3674,4.3674
"508","Melibiose","Ethanol",92,93.2246,0.3475,8121,0.8121,0,1,"Random",-1.2246,1.2246
"509","Melibiose","Glycerol",89,92.7728,0.0563,9797,0.9797,0,1,"Random",-3.7728,3.7728
"510","Melibiose","Erythritol",53,51.411,0.7223,3834,0.3834,0,1,"Random",1.589,1.589
"511","Melibiose","Ribitol",78,79.8977,0.3234,7795,0.7795,0,1,"Random",-1.8977,1.8977
"512","Melibiose","Galactitol",45,36.5785,0.998,56,0.0056,1,0.0574254545454545,"Random",8.4215,8.4215
"513","Melibiose","D-Mannitol",97,94.2759,0.9625,1223,0.1223,0,0.509056826568266,"Random",2.72410000000001,2.72410000000001
"514","Melibiose","D-Glucitol",90,91.3015,0.3534,7883,0.7883,0,1,"Random",-1.3015,1.3015
"515","Melibiose","myo-Inositol",36,27.2727,0.9995,17,0.0017,1,0.0213066666666667,"Positive",8.7273,8.7273
"5161","Melibiose","DL-Lactate",384,359.1974,0.9998,12,0.0012,1,0.0161142857142857,"Negative",24.8026,24.8026
"517","Melibiose","Succinate",85,89.3804,0.0608,9733,0.9733,0,1,"Random",-4.38039999999999,4.38039999999999
"518","Melibiose","Citrate",70,75.4421,0.0686,9604,0.9604,0,1,"Random",-5.4421,5.4421
"519","Melibiose","D-Gluconate",76,76.6905,0.4708,6433,0.6433,0,1,"Random",-0.6905,0.6905
"520","Melibiose","D-Glucosamine",56,58.4244,0.2995,7864,0.7864,0,1,"Random",-2.4244,2.4244
"521","Melibiose","Nitrate",14,18.3075,0.0981,9516,0.9516,0,1,"Random",-4.3075,4.3075
"522","Melibiose","Vitamin-free",31,27.5013,0.8873,1801,0.1801,0,0.668265789473684,"Random",3.4987,3.4987
"523","Melibiose","2-Keto-D-gluconate",73,69.9471,0.8415,2381,0.2381,0,0.776233526011561,"Random",3.05289999999999,3.05289999999999
"524","Melibiose","Starch formation",7,5.082,0.9334,1828,0.1828,0,0.668820578778135,"Random",1.918,1.918
"525","Melibiose","Growth at 19°C",99,98.9449,1,9454,0.9454,0,1,"Random",0.0550999999999959,0.0550999999999959
"526","Melibiose","Growth at 25°C",99,98.9389,1,9400,0.94,0,1,"Random",0.0610999999999962,0.0610999999999962
"527","Melibiose","Growth at 30°C",94,95.5654,0.2322,9048,0.9048,0,1,"Random",-1.5654,1.5654
"528","Melibiose","Growth at 37°C",49,56.6983,0.0342,9801,0.9801,0,1,"Random",-7.6983,7.6983
"541","Galactose","Lactose",97,88.7158,0.9999,7,7e-04,1,0.0101230769230769,"Positive",8.2842,8.2842
"542","Galactose","Trehalose",405,406.5704,0.4104,6674,0.6674,0,1,"Random",-1.57040000000001,1.57040000000001
"543","Galactose","Maltose",354,351.0413,0.7503,3182,0.3182,0,0.949549206349206,"Random",2.95870000000002,2.95870000000002
"544","Galactose","Melezitose",289,288.2805,0.5915,4828,0.4828,0,1,"Random",0.719499999999982,0.719499999999982
"545","Galactose","Methyl-?-D-glucoside",298,298.7837,0.4721,6027,0.6027,0,1,"Random",-0.78370000000001,0.78370000000001
"546","Galactose","Soluble Starch",126,128.6426,0.2912,7881,0.7881,0,1,"Random",-2.64259999999999,2.64259999999999
"547","Galactose","Cellobiose",345,354.5722,0.0435,9714,0.9714,0,1,"Random",-9.57220000000001,9.57220000000001
"548","Galactose","Salicin",343,353.743,0.0257,9845,0.9845,0,1,"Random",-10.743,10.743
"549","Galactose","L-Sorbose",365,341.6717,1,0,0,1,0,"Positive",23.3283,23.3283
"5501","Galactose","L-Rhamnose",494,453.486,1,0,0,1,0,"Negative",40.514,40.514
"551","Galactose","D-Xylose",396,398.6894,0.3282,7405,0.7405,0,1,"Random",-2.68939999999998,2.68939999999998
"552","Galactose","L-Arabinose",228,222.6141,0.8963,1512,0.1512,0,0.586094845360825,"Random",5.38589999999999,5.38589999999999
"553","Galactose","D-Arabinose",183,183.1598,0.5286,5612,0.5612,0,1,"Random",-0.15979999999999,0.15979999999999
"554","Galactose","D-Ribose",266,260.8337,0.8651,1819,0.1819,0,0.66871661237785,"Random",5.16629999999998,5.16629999999998
"5551","Galactose","Methanol",551,519.0096,1,0,0,1,0,"Negative",31.9904,31.9904
"556","Galactose","Ethanol",464,470.4264,0.0568,9669,0.9669,0,1,"Random",-6.4264,6.4264
"557","Galactose","Glycerol",481,484.2477,0.2184,8564,0.8564,0,1,"Random",-3.24770000000001,3.24770000000001
"558","Galactose","Erythritol",172,174.402,0.3342,7444,0.7444,0,1,"Random",-2.40199999999999,2.40199999999999
